"http://purl.org/dc/elements/1.1/title","http://purl.org/dc/elements/1.1/creator","http://purl.org/dc/elements/1.1/date","http://purl.org/dc/elements/1.1/type","http://purl.org/dc/elements/1.1/source","https://tropy.org/v1/tropy#collection","https://tropy.org/v1/tropy#box","https://tropy.org/v1/tropy#folder","http://purl.org/dc/elements/1.1/identifier","http://purl.org/dc/elements/1.1/rights",Tags,Photos,Notes
"Dokument 24","","","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0063.jpg;0064.jpg",""
"Dokument 25","","","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0065.jpg;0066.jpg",""
"Dokument 26","","","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0067.jpg;0068.jpg",""
"Dokument 27","","","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0069.jpg",""
"Dokument 28","","","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0070.jpg;0071.jpg;0072.jpg",""
"Dokument 29","","","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0073.jpg",""
"Dokument 30","","","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0074.jpg;0075.jpg",""
"Dokument 31","","","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0076.jpg",""
"Dokument 32","","","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0077.jpg",""
"Dokument 33","","","Correspondence","Schweizerisches Wirtschaftsarchiv, CH SWA HS 191 V 10","Basler Rheinschifffahrt-Aktiengesellschaft, insbesondere über die Veräusserung des Dieselmotorbootes ""Rheinfelden" und die Gewährung eines Darlehens zur [...]. 1926-1937","","","https://doi.org/10.7891/e-manuscripta-54917","Public Domain Mark","","0078.jpg",""
